starttime,group_index
2025-04-15 04:05:46.080875,0
2025-04-15 04:05:46.837787,1
2025-04-15 04:05:47.607717,2
2025-04-15 04:05:48.441127,3
2025-04-15 04:05:49.267880,4
2025-04-15 04:05:50.020376,5
2025-04-15 04:05:50.809612,6
2025-04-15 04:05:51.609836,7
2025-04-15 04:05:52.355810,8
2025-04-15 04:05:53.134524,9
2025-04-15 04:05:53.892450,10
2025-04-15 04:05:54.622808,11
2025-04-15 04:05:55.381566,12
2025-04-15 04:05:56.237897,13
2025-04-15 04:05:57.088856,14
2025-04-15 04:05:57.887440,15
2025-04-15 04:05:58.669600,16
2025-04-15 04:05:59.498589,17
2025-04-15 04:06:00.342845,18
2025-04-15 04:06:01.081306,19
2025-04-15 04:06:01.871220,20
2025-04-15 04:06:02.657605,21
2025-04-15 04:06:03.379591,22
2025-04-15 04:06:04.177672,23
2025-04-15 04:06:04.942916,24
2025-04-15 04:06:05.706679,25
2025-04-15 04:06:06.583005,26
2025-04-15 04:06:07.379384,27
2025-04-15 04:06:08.182406,28
2025-04-15 04:06:08.975185,29
2025-04-15 04:06:09.763029,30
2025-04-15 04:06:10.557010,31
2025-04-15 04:06:11.417378,32
2025-04-15 04:06:12.134203,33
2025-04-15 04:06:12.862654,34
2025-04-15 04:06:13.591881,35
2025-04-15 04:06:14.488392,36
2025-04-15 04:06:15.253506,37
2025-04-15 04:06:16.025785,38
2025-04-15 04:06:16.833428,39
2025-04-15 04:06:17.724164,40
2025-04-15 04:06:18.526455,41
2025-04-15 04:06:19.312598,42
2025-04-15 04:06:20.136003,43
2025-04-15 04:06:21.007959,44
2025-04-15 04:06:21.778119,45
2025-04-15 04:06:22.525324,46
2025-04-15 04:06:23.316911,47
2025-04-15 04:06:24.253135,48
2025-04-15 04:06:24.970437,49
2025-04-15 04:06:25.735404,50
2025-04-15 04:06:26.618044,51
2025-04-15 04:06:27.390379,52
2025-04-15 04:06:28.165217,53
2025-04-15 04:06:29.018835,54
2025-04-15 04:06:29.877277,55
2025-04-15 04:06:30.641460,56
2025-04-15 04:06:31.489397,57
2025-04-15 04:06:32.325591,58
2025-04-15 04:06:33.111313,59
2025-04-15 04:06:33.867028,60
2025-04-15 04:06:34.607611,61
2025-04-15 04:06:35.333965,62
2025-04-15 04:06:36.101994,63
2025-04-15 04:06:36.851733,64
2025-04-15 04:06:37.607465,65
2025-04-15 04:06:38.336680,66
2025-04-15 04:06:39.081579,67
2025-04-15 04:06:39.812739,68
2025-04-15 04:06:40.557882,69
2025-04-15 04:06:41.252618,70
2025-04-15 04:06:41.910331,71
2025-04-15 04:06:42.730111,72
2025-04-15 04:06:43.431490,73
2025-04-15 04:06:44.233861,74
2025-04-15 04:06:44.969517,75
2025-04-15 04:06:45.650312,76
2025-04-15 04:06:46.432129,77
2025-04-15 04:06:47.160962,78
2025-04-15 04:06:47.843707,79
2025-04-15 04:06:48.600698,80
2025-04-15 04:06:49.386218,81
2025-04-15 04:06:50.228762,82
2025-04-15 04:06:50.981275,83
2025-04-15 04:06:51.697081,84
2025-04-15 04:06:52.456764,85
2025-04-15 04:06:53.129932,86
2025-04-15 04:06:53.848771,87
2025-04-15 04:06:54.613793,88
2025-04-15 04:06:55.397506,89
2025-04-15 04:06:56.130570,90
2025-04-15 04:06:56.921263,91
2025-04-15 04:06:57.721274,92
2025-04-15 04:06:58.488812,93
2025-04-15 04:06:59.192555,94
2025-04-15 04:07:00.086276,95
2025-04-15 04:07:00.870801,96
2025-04-15 04:07:01.657432,97
2025-04-15 04:07:02.400985,98
2025-04-15 04:07:03.101755,99
2025-04-15 04:07:03.883624,100
2025-04-15 04:07:04.649659,101
2025-04-15 04:07:05.450764,102
2025-04-15 04:07:06.245769,103
2025-04-15 04:07:07.039517,104
2025-04-15 04:07:07.784435,105
2025-04-15 04:07:08.535354,106
2025-04-15 04:07:09.240272,107
