starttime,group_index
2025-04-15 04:01:58.318021,0
2025-04-15 04:01:59.115410,1
2025-04-15 04:01:59.934283,2
2025-04-15 04:02:00.946348,3
2025-04-15 04:02:01.735990,4
2025-04-15 04:02:02.593512,5
2025-04-15 04:02:03.456770,6
2025-04-15 04:02:04.272771,7
2025-04-15 04:02:05.102457,8
2025-04-15 04:02:05.979116,9
2025-04-15 04:02:07.002856,10
2025-04-15 04:02:07.771202,11
2025-04-15 04:02:08.519037,12
2025-04-15 04:02:09.333445,13
2025-04-15 04:02:10.073953,14
2025-04-15 04:02:10.825709,15
2025-04-15 04:02:11.507619,16
2025-04-15 04:02:12.226148,17
2025-04-15 04:02:13.047343,18
2025-04-15 04:02:13.756450,19
2025-04-15 04:02:14.601639,20
2025-04-15 04:02:15.488377,21
2025-04-15 04:02:16.410507,22
2025-04-15 04:02:17.094239,23
2025-04-15 04:02:17.874603,24
2025-04-15 04:02:18.657924,25
2025-04-15 04:02:19.358922,26
2025-04-15 04:02:20.400442,27
2025-04-15 04:02:20.985916,28
2025-04-15 04:02:21.750215,29
2025-04-15 04:02:22.406001,30
2025-04-15 04:02:23.278779,31
2025-04-15 04:02:23.978337,32
2025-04-15 04:02:24.702713,33
2025-04-15 04:02:25.445028,34
2025-04-15 04:02:26.154183,35
2025-04-15 04:02:26.825777,36
2025-04-15 04:02:27.524511,37
2025-04-15 04:02:28.219234,38
2025-04-15 04:02:28.916623,39
2025-04-15 04:02:29.668619,40
2025-04-15 04:02:30.315812,41
2025-04-15 04:02:31.035771,42
2025-04-15 04:02:31.727025,43
2025-04-15 04:02:32.426309,44
2025-04-15 04:02:33.130313,45
2025-04-15 04:02:33.850285,46
2025-04-15 04:02:34.636939,47
2025-04-15 04:02:35.368823,48
2025-04-15 04:02:36.125712,49
2025-04-15 04:02:36.878946,50
2025-04-15 04:02:37.736425,51
2025-04-15 04:02:38.507997,52
2025-04-15 04:02:39.225608,53
2025-04-15 04:02:39.952663,54
2025-04-15 04:02:40.655674,55
2025-04-15 04:02:41.378985,56
2025-04-15 04:02:42.078498,57
2025-04-15 04:02:42.818895,58
2025-04-15 04:02:43.479459,59
2025-04-15 04:02:44.105378,60
2025-04-15 04:02:44.860034,61
2025-04-15 04:02:45.546068,62
2025-04-15 04:02:46.410420,63
2025-04-15 04:02:47.583575,64
2025-04-15 04:02:48.418049,65
2025-04-15 04:02:49.969678,66
2025-04-15 04:02:50.663685,67
2025-04-15 04:02:51.307633,68
2025-04-15 04:02:52.312251,69
2025-04-15 04:02:53.076686,70
2025-04-15 04:02:53.843138,71
2025-04-15 04:02:54.519118,72
2025-04-15 04:02:55.432496,73
2025-04-15 04:02:56.193646,74
2025-04-15 04:02:56.978709,75
2025-04-15 04:02:57.743494,76
2025-04-15 04:02:58.495256,77
2025-04-15 04:02:59.236904,78
2025-04-15 04:02:59.968501,79
2025-04-15 04:03:00.727175,80
2025-04-15 04:03:01.502266,81
2025-04-15 04:03:02.230665,82
2025-04-15 04:03:02.938433,83
2025-04-15 04:03:03.658959,84
2025-04-15 04:03:04.409193,85
2025-04-15 04:03:05.083835,86
2025-04-15 04:03:05.833067,87
2025-04-15 04:03:06.530637,88
2025-04-15 04:03:07.253761,89
2025-04-15 04:03:07.978127,90
2025-04-15 04:03:08.764394,91
2025-04-15 04:03:09.502955,92
2025-04-15 04:03:10.215762,93
2025-04-15 04:03:11.139992,94
2025-04-15 04:03:11.826381,95
2025-04-15 04:03:12.539909,96
2025-04-15 04:03:13.299726,97
2025-04-15 04:03:14.019033,98
2025-04-15 04:03:14.676509,99
2025-04-15 04:03:15.442332,100
2025-04-15 04:03:16.074267,101
2025-04-15 04:03:16.950208,102
2025-04-15 04:03:17.689489,103
2025-04-15 04:03:18.337958,104
2025-04-15 04:03:19.047043,105
2025-04-15 04:03:19.758319,106
2025-04-15 04:03:20.540459,107
