timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-15T04:00:01.521438,none,-914,7996,-1064,-31,5,-3,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.534139,none,-916,8075,-984,-28,0,0,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.538297,none,-913,8092,-1016,-23,-2,-1,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.542636,none,-945,8095,-1001,-18,-5,-4,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.546737,none,-936,8130,-965,-11,-6,-3,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.551757,none,-974,8136,-924,-6,-10,-3,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.556776,none,-1015,8168,-904,2,-10,-1,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.561796,none,-1043,8176,-880,9,-10,1,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.566806,none,-1102,8250,-908,28,-11,1,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.571820,none,-1109,8273,-902,38,-11,0,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.576833,none,-1084,8262,-943,55,-11,1,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.581850,none,-1093,8280,-927,68,-10,1,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.586866,none,-1116,8251,-997,79,-6,-5,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.591885,none,-1095,8208,-1045,97,-6,-1,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.596916,none,-1139,8156,-1047,104,-6,4,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.601941,none,-1139,8078,-1065,101,-4,7,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.606968,none,-1148,8033,-1078,103,1,8,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.611995,none,-1182,7920,-1148,100,7,10,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.617022,none,-1161,7903,-1185,86,10,6,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.622039,none,-1182,7842,-1255,65,18,11,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.627139,none,-1211,7883,-1233,52,19,13,u1down,u1down_20250415_040001.wav
2025-04-15T04:00:01.632158,none,-1195,7924,-1221,43,21,13,u1down,u1down_20250415_040001.wav
