timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-15T03:54:41.293898,none,-1312,7576,-3017,134,-29,47,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.299662,none,-1316,7489,-2972,126,-30,43,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.304736,none,-1269,7515,-2954,118,-30,38,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.309876,none,-1300,7532,-2829,111,-12,28,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.314918,none,-1300,7584,-2791,108,-4,12,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.319948,none,-1362,7667,-2773,108,8,-1,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.324967,none,-1353,7686,-2780,113,16,-17,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.329983,none,-1395,7688,-2754,134,35,-49,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.335009,none,-1418,7685,-2762,150,44,-57,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.340031,none,-1425,7687,-2758,167,52,-62,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.345054,none,-1471,7678,-2749,186,59,-67,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.350082,none,-1532,7649,-2770,225,69,-62,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.355107,none,-1548,7548,-2747,241,73,-57,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.359531,none,-1545,7529,-2809,250,71,-56,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.364561,none,-1486,7545,-2836,257,70,-54,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.369594,none,-1473,7547,-2905,279,69,-55,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.374607,none,-1480,7528,-2911,286,68,-51,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.379627,none,-1528,7485,-2903,294,68,-53,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.384657,none,-1582,7465,-2856,297,76,-47,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.389677,none,-1594,7431,-2864,301,89,-35,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.394766,none,-1489,7423,-2932,301,98,-26,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.399787,none,-1465,7426,-2994,299,103,-18,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.404819,none,-1425,7458,-3078,295,106,-6,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.409538,none,-1369,7466,-3120,288,103,9,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.414554,none,-1386,7419,-3105,283,106,17,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.419567,none,-1406,7371,-3106,282,108,26,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.424580,none,-1392,7325,-3122,267,113,34,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.429592,none,-1267,7239,-3175,240,121,48,u1left,u1left_20250415_035441.wav
2025-04-15T03:54:41.434610,none,-1256,7193,-3168,224,123,51,u1left,u1left_20250415_035441.wav
