starttime,group_index
2025-04-15 03:56:33.352669,0
2025-04-15 03:56:34.060621,1
2025-04-15 03:56:34.751155,2
2025-04-15 03:56:35.420446,3
2025-04-15 03:56:36.133980,4
2025-04-15 03:56:36.817296,5
2025-04-15 03:56:37.451654,6
2025-04-15 03:56:38.280024,7
2025-04-15 03:56:38.987097,8
2025-04-15 03:56:39.714064,9
2025-04-15 03:56:40.364172,10
2025-04-15 03:56:41.043621,11
2025-04-15 03:56:41.772227,12
2025-04-15 03:56:42.579488,13
2025-04-15 03:56:43.295639,14
2025-04-15 03:56:43.994444,15
2025-04-15 03:56:44.783395,16
2025-04-15 03:56:45.650685,17
2025-04-15 03:56:46.352689,18
2025-04-15 03:56:47.169682,19
2025-04-15 03:56:47.924951,20
2025-04-15 03:56:48.708513,21
2025-04-15 03:56:49.530073,22
2025-04-15 03:56:50.298889,23
2025-04-15 03:56:51.131470,24
2025-04-15 03:56:51.921508,25
2025-04-15 03:56:52.671963,26
2025-04-15 03:56:53.477844,27
2025-04-15 03:56:54.443416,28
2025-04-15 03:56:55.364994,29
2025-04-15 03:56:56.311516,30
2025-04-15 03:56:57.157701,31
2025-04-15 03:56:57.983463,32
2025-04-15 03:56:58.920330,33
2025-04-15 03:56:59.764841,34
2025-04-15 03:57:00.587520,35
2025-04-15 03:57:01.370686,36
2025-04-15 03:57:02.156417,37
2025-04-15 03:57:02.920883,38
2025-04-15 03:57:03.710557,39
2025-04-15 03:57:04.661687,40
2025-04-15 03:57:05.404044,41
2025-04-15 03:57:06.338726,42
2025-04-15 03:57:07.351352,43
2025-04-15 03:57:08.124478,44
2025-04-15 03:57:08.907417,45
2025-04-15 03:57:09.615322,46
2025-04-15 03:57:10.406551,47
2025-04-15 03:57:11.151952,48
2025-04-15 03:57:11.943314,49
2025-04-15 03:57:12.661826,50
2025-04-15 03:57:13.494875,51
2025-04-15 03:57:14.355654,52
2025-04-15 03:57:15.136475,53
2025-04-15 03:57:15.841191,54
2025-04-15 03:57:16.629374,55
2025-04-15 03:57:17.405524,56
2025-04-15 03:57:18.218317,57
2025-04-15 03:57:18.941933,58
2025-04-15 03:57:19.602238,59
2025-04-15 03:57:20.319464,60
2025-04-15 03:57:20.966770,61
2025-04-15 03:57:21.704590,62
2025-04-15 03:57:22.493708,63
2025-04-15 03:57:23.228376,64
2025-04-15 03:57:23.991820,65
2025-04-15 03:57:24.802241,66
2025-04-15 03:57:25.640665,67
2025-04-15 03:57:26.292995,68
2025-04-15 03:57:27.097402,69
2025-04-15 03:57:27.916727,70
2025-04-15 03:57:28.629582,71
2025-04-15 03:57:29.394227,72
2025-04-15 03:57:30.148973,73
2025-04-15 03:57:30.869964,74
2025-04-15 03:57:31.614548,75
2025-04-15 03:57:32.326945,76
2025-04-15 03:57:32.994841,77
2025-04-15 03:57:33.718173,78
2025-04-15 03:57:34.493718,79
2025-04-15 03:57:35.189877,80
2025-04-15 03:57:36.022632,81
2025-04-15 03:57:36.692825,82
2025-04-15 03:57:37.350151,83
2025-04-15 03:57:38.059172,84
2025-04-15 03:57:38.768383,85
2025-04-15 03:57:39.579399,86
2025-04-15 03:57:40.368532,87
2025-04-15 03:57:41.042013,88
2025-04-15 03:57:41.761061,89
2025-04-15 03:57:42.513859,90
2025-04-15 03:57:43.249792,91
2025-04-15 03:57:44.064008,92
2025-04-15 03:57:44.841439,93
2025-04-15 03:57:45.554585,94
2025-04-15 03:57:46.305635,95
2025-04-15 03:57:47.051723,96
2025-04-15 03:57:47.863892,97
2025-04-15 03:57:48.686435,98
2025-04-15 03:57:49.454311,99
2025-04-15 03:57:50.306337,100
2025-04-15 03:57:50.987011,101
2025-04-15 03:57:51.731461,102
2025-04-15 03:57:52.473303,103
2025-04-15 03:57:53.124437,104
