timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id
2025-03-07T11:26:16.592564,none,0,0,0,0,0,0,user1
2025-03-07T11:26:16.597643,none,-491,8288,-1140,-55,-63,60,user1
2025-03-07T11:26:16.602667,none,-464,8259,-1143,-46,-63,64,user1
2025-03-07T11:26:16.606753,none,-449,8260,-1103,-36,-61,69,user1
2025-03-07T11:26:16.611815,none,-459,8284,-1092,-27,-60,71,user1
2025-03-07T11:26:16.616846,none,-446,8268,-1174,-6,-55,68,user1
2025-03-07T11:26:16.621865,none,-422,8261,-1158,0,-50,62,user1
2025-03-07T11:26:16.626883,none,-422,8245,-1138,6,-51,61,user1
2025-03-07T11:26:16.631920,none,-394,8230,-1143,12,-46,52,user1
2025-03-07T11:26:16.636936,none,-433,8181,-1130,17,-41,43,user1
2025-03-07T11:26:16.641530,none,-418,8146,-1148,18,-36,44,user1
2025-03-07T11:26:16.646568,none,-437,8112,-1181,13,-36,37,user1
2025-03-07T11:26:16.651298,none,-458,8140,-1206,3,-32,31,user1
2025-03-07T11:26:16.655359,none,-469,8133,-1185,-8,-30,22,user1
2025-03-07T11:26:16.660368,none,-538,8084,-1182,-25,-19,13,user1
2025-03-07T11:26:16.665385,none,-509,8065,-1233,-29,-16,15,user1
2025-03-07T11:26:16.670412,none,-507,8052,-1203,-35,-8,17,user1
2025-03-07T11:26:16.675436,none,-509,8031,-1190,-38,-1,22,user1
2025-03-07T11:26:16.680461,none,-482,8036,-1193,-48,6,24,user1
2025-03-07T11:26:16.685485,none,-522,8027,-1183,-54,10,28,user1
2025-03-07T11:26:16.690605,none,-488,8057,-1154,-57,11,33,user1
2025-03-07T11:26:16.695636,none,-465,8124,-1136,-59,13,38,user1
2025-03-07T11:26:16.700668,none,-482,8126,-1106,-45,12,46,user1
2025-03-07T11:26:16.705693,none,-488,8144,-1093,-35,12,46,user1
2025-03-07T11:26:16.710710,none,-461,8162,-1100,-23,13,45,user1
2025-03-07T11:26:16.715740,none,-442,8130,-1121,-13,10,40,user1
2025-03-07T11:26:16.720763,none,-447,8116,-1111,0,4,37,user1
2025-03-07T11:26:16.725789,none,-433,8034,-1146,-1,-4,28,user1
2025-03-07T11:26:16.730814,none,-418,8095,-1146,-3,-9,18,user1
2025-03-07T11:26:16.735836,none,-427,8082,-1152,-6,-11,13,user1
2025-03-07T11:26:16.740870,none,-436,8102,-1178,-8,-22,2,user1
2025-03-07T11:26:16.745901,none,-474,8127,-1164,-9,-25,1,user1
2025-03-07T11:26:16.750932,none,-491,8099,-1157,-5,-23,-4,user1
2025-03-07T11:26:16.755955,none,-521,8108,-1145,-5,-21,-8,user1
2025-03-07T11:26:16.760974,none,-526,8134,-1191,-14,-18,-15,user1
2025-03-07T11:26:16.765998,none,-505,8124,-1185,-18,-13,-17,user1
2025-03-07T11:26:16.771027,none,-505,8118,-1204,-18,-11,-12,user1
2025-03-07T11:26:16.776073,none,-487,8098,-1160,-17,-2,-6,user1
2025-03-07T11:26:16.781097,none,-499,8075,-1151,-17,0,1,user1
2025-03-07T11:26:16.786127,none,-484,8057,-1157,-22,3,8,user1
2025-03-07T11:26:16.791242,none,-514,8031,-1125,-28,5,16,user1
2025-03-07T11:26:16.796262,none,-471,8029,-1158,-53,6,25,user1
2025-03-07T11:26:16.801283,none,-434,8032,-1128,-63,5,29,user1
2025-03-07T11:26:16.806303,none,-428,8043,-1132,-72,1,29,user1
2025-03-07T11:26:16.811320,none,-437,8062,-1108,-85,-3,31,user1
2025-03-07T11:26:16.816334,none,-437,8117,-1127,-93,-7,36,user1
2025-03-07T11:26:16.821354,none,-456,8161,-1087,-93,-12,34,user1
2025-03-07T11:26:16.826402,none,-483,8187,-1100,-93,-14,30,user1
2025-03-07T11:26:16.831477,none,-471,8183,-1089,-88,-17,28,user1
2025-03-07T11:26:16.835599,none,-503,8280,-1084,-80,-21,24,user1
2025-03-07T11:26:16.840632,none,-474,8395,-1059,-43,-20,12,user1
2025-03-07T11:26:16.845735,none,-472,8373,-1092,-21,-18,8,user1
2025-03-07T11:26:16.850367,none,-498,8340,-1065,0,-18,0,user1
2025-03-07T11:26:16.855185,none,-499,8280,-1067,13,-19,-4,user1
2025-03-07T11:26:16.860315,none,-481,8227,-1106,20,-17,-5,user1
2025-03-07T11:26:16.865370,none,-490,8161,-1123,21,-19,-9,user1
2025-03-07T11:26:16.870405,none,-490,8174,-1121,18,-19,-5,user1
2025-03-07T11:26:16.875430,none,-506,8176,-1130,17,-24,-4,user1
2025-03-07T11:26:16.880449,none,-501,8139,-1122,14,-21,-3,user1
2025-03-07T11:26:16.885477,none,-503,8102,-1137,2,-20,2,user1
2025-03-07T11:26:16.890704,none,-496,8068,-1128,-8,-14,11,user1
2025-03-07T11:26:16.897522,none,-504,8051,-1181,-28,-10,15,user1
2025-03-07T11:26:16.902581,none,-496,8064,-1167,-58,-2,33,user1
2025-03-07T11:26:16.907617,none,-492,8063,-1155,-73,0,41,user1
2025-03-07T11:26:16.912385,none,-551,8075,-1136,-94,8,61,user1
2025-03-07T11:26:16.917409,none,-569,8089,-1186,-102,12,72,user1
2025-03-07T11:26:16.922257,none,-562,8116,-1143,-107,19,80,user1
2025-03-07T11:26:16.927292,none,-557,8132,-1154,-112,20,87,user1
2025-03-07T11:26:16.932321,none,-509,8175,-1119,-114,30,85,user1
2025-03-07T11:26:16.936789,none,-511,8186,-1104,-109,36,78,user1
2025-03-07T11:26:16.941818,none,-498,8193,-1096,-104,38,70,user1
2025-03-07T11:26:16.946849,none,-444,8197,-1098,-96,43,61,user1
2025-03-07T11:26:16.951887,none,-433,8215,-1089,-87,44,48,user1
2025-03-07T11:26:16.956947,none,-418,8215,-1068,-63,48,21,user1
2025-03-07T11:26:16.961986,none,-413,8190,-1039,-50,47,9,user1
2025-03-07T11:26:16.967021,none,-437,8172,-1032,-38,45,0,user1
2025-03-07T11:26:16.972262,none,-463,8204,-1053,-20,48,-21,user1
2025-03-07T11:26:16.977293,none,-463,8200,-1057,-12,45,-30,user1
2025-03-07T11:26:16.982381,none,-438,8155,-1051,-4,43,-36,user1
2025-03-07T11:26:16.986692,none,-440,8162,-1033,-1,41,-39,user1
2025-03-07T11:26:16.992086,none,-438,8138,-1031,-2,40,-38,user1
2025-03-07T11:26:16.997128,none,-495,8179,-1042,-9,39,-36,user1
2025-03-07T11:26:17.002159,none,-512,8191,-1021,-7,41,-32,user1
2025-03-07T11:26:17.007191,none,-489,8173,-1045,-8,43,-24,user1
2025-03-07T11:26:17.012447,none,-508,8130,-1080,-9,45,-20,user1
2025-03-07T11:26:17.017495,none,-495,8107,-1040,-23,47,2,user1
2025-03-07T11:26:17.022545,none,-457,8159,-1085,-32,45,11,user1
2025-03-07T11:26:17.027581,none,-453,8148,-1059,-40,45,19,user1
2025-03-07T11:26:17.032042,none,-444,8164,-1021,-46,43,27,user1
2025-03-07T11:26:17.037060,none,-455,8195,-981,-51,40,38,user1
2025-03-07T11:26:17.042080,none,-445,8155,-996,-59,36,40,user1
2025-03-07T11:26:17.047108,none,-443,8162,-964,-59,34,40,user1
2025-03-07T11:26:17.052125,none,-406,8213,-985,-60,27,42,user1
2025-03-07T11:26:17.057137,none,-422,8232,-978,-54,23,42,user1
2025-03-07T11:26:17.062155,none,-428,8248,-959,-48,18,41,user1
2025-03-07T11:26:17.067177,none,-430,8223,-930,-43,14,38,user1
2025-03-07T11:26:17.072194,none,-419,8241,-917,-35,10,33,user1
2025-03-07T11:26:17.077218,none,-381,8218,-940,-30,5,35,user1
2025-03-07T11:26:17.082238,none,-389,8182,-914,-28,2,31,user1
2025-03-07T11:26:17.087254,none,-364,8152,-957,-29,2,34,user1
2025-03-07T11:26:17.092396,none,-379,8119,-967,-40,-9,42,user1
2025-03-07T11:26:17.097500,none,-379,8130,-950,-49,-11,40,user1
2025-03-07T11:26:17.102345,none,-377,8088,-926,-59,-12,40,user1
2025-03-07T11:26:17.107393,none,-363,8116,-972,-66,-14,39,user1
2025-03-07T11:26:17.112417,none,-402,8172,-966,-78,-18,34,user1
2025-03-07T11:26:17.117441,none,-402,8209,-971,-74,-17,34,user1
2025-03-07T11:26:17.122468,none,-407,8229,-957,-69,-17,30,user1
2025-03-07T11:26:17.127496,none,-414,8238,-959,-64,-12,27,user1
2025-03-07T11:26:17.132514,none,-428,8232,-951,-53,-1,20,user1
2025-03-07T11:26:17.136979,none,-430,8247,-952,-46,0,15,user1
2025-03-07T11:26:17.142001,none,-420,8269,-946,-35,5,12,user1
2025-03-07T11:26:17.147025,none,-453,8257,-945,-26,9,8,user1
2025-03-07T11:26:17.151351,none,-435,8267,-934,-16,13,4,user1
2025-03-07T11:26:17.156381,none,-428,8269,-950,4,17,-2,user1
2025-03-07T11:26:17.161448,none,-441,8252,-927,12,18,-6,user1
2025-03-07T11:26:17.165977,none,-413,8221,-947,20,18,-5,user1
2025-03-07T11:26:17.171015,none,-428,8196,-943,24,16,-5,user1
2025-03-07T11:26:17.175358,none,-429,8162,-947,22,14,-7,user1
2025-03-07T11:26:17.180386,none,-418,8150,-959,14,5,-9,user1
2025-03-07T11:26:17.184649,none,-415,8133,-960,5,3,-8,user1
2025-03-07T11:26:17.189239,none,-386,8159,-973,-4,0,-8,user1
2025-03-07T11:26:17.194274,none,-410,8159,-995,-7,-2,-4,user1
2025-03-07T11:26:17.199302,none,-436,8170,-997,-11,-5,-2,user1
2025-03-07T11:26:17.204331,none,-465,8174,-977,-15,-9,-1,user1
2025-03-07T11:26:17.209150,none,-461,8146,-971,-17,-7,2,user1
2025-03-07T11:26:17.214185,none,-453,8136,-993,-21,-7,6,user1
2025-03-07T11:26:17.219220,none,-469,8161,-990,-24,-7,3,user1
2025-03-07T11:26:17.224257,none,-472,8179,-960,-22,-5,10,user1
2025-03-07T11:26:17.229290,none,-470,8171,-973,-18,-4,8,user1
2025-03-07T11:26:17.234319,none,-449,8205,-1020,-17,-2,8,user1
2025-03-07T11:26:17.238541,none,-456,8168,-997,-13,0,8,user1
2025-03-07T11:26:17.243573,none,-470,8134,-958,-14,1,6,user1
2025-03-07T11:26:17.248603,none,-427,8157,-994,-17,2,5,user1
2025-03-07T11:26:17.253635,none,-483,8151,-1003,-15,3,3,user1
2025-03-07T11:26:17.258665,none,-445,8162,-970,-12,6,2,user1
2025-03-07T11:26:17.263693,none,-472,8144,-975,-13,4,0,user1
2025-03-07T11:26:17.267910,none,-474,8178,-992,-16,6,0,user1
2025-03-07T11:26:17.272582,none,-452,8154,-971,-16,9,-5,user1
2025-03-07T11:26:17.277621,none,-456,8160,-988,-18,10,-4,user1
2025-03-07T11:26:17.282652,none,-470,8164,-990,-15,7,-5,user1
2025-03-07T11:26:17.287227,none,-448,8170,-971,-10,8,-8,user1
2025-03-07T11:26:17.292269,none,-493,8179,-959,-6,8,-8,user1
2025-03-07T11:26:17.297298,none,-474,8160,-978,-6,5,-9,user1
2025-03-07T11:26:17.302325,none,-491,8142,-973,-6,4,-6,user1
2025-03-07T11:26:17.307351,none,-487,8172,-970,-3,5,-8,user1
2025-03-07T11:26:17.312382,none,-467,8219,-944,9,6,-8,user1
2025-03-07T11:26:17.317408,none,-473,8217,-957,13,9,-6,user1
2025-03-07T11:26:17.321841,none,-446,8233,-941,14,9,-10,user1
2025-03-07T11:26:17.326872,none,-431,8182,-957,18,12,-11,user1
2025-03-07T11:26:17.331902,none,-415,8181,-962,17,14,-12,user1
2025-03-07T11:26:17.336976,none,-432,8118,-964,15,11,-17,user1
2025-03-07T11:26:17.342042,none,-455,8121,-962,10,12,-15,user1
2025-03-07T11:26:17.346181,none,-431,8080,-964,0,10,-16,user1
2025-03-07T11:26:17.351207,none,-455,8063,-977,-7,10,-13,user1
2025-03-07T11:26:17.356241,none,-422,8101,-928,-23,9,-6,user1
2025-03-07T11:26:17.361256,none,-435,8182,-942,-31,7,-11,user1
2025-03-07T11:26:17.366266,none,-447,8176,-951,-32,8,-8,user1
2025-03-07T11:26:17.371275,none,-474,8191,-925,-33,11,-8,user1
2025-03-07T11:26:17.376283,none,-446,8193,-936,-27,19,-7,user1
2025-03-07T11:26:17.380586,none,-439,8189,-943,-25,21,-11,user1
2025-03-07T11:26:17.384896,none,-461,8219,-963,-21,21,-10,user1
2025-03-07T11:26:17.389923,none,-445,8250,-961,-18,22,-11,user1
2025-03-07T11:26:17.394951,none,-461,8222,-970,-11,22,-16,user1
2025-03-07T11:26:17.399984,none,-440,8228,-923,3,18,-19,user1
2025-03-07T11:26:17.405001,none,-470,8249,-921,8,15,-23,user1
2025-03-07T11:26:17.410026,none,-473,8267,-935,15,13,-28,user1
2025-03-07T11:26:17.415049,none,-511,8195,-956,16,14,-29,user1
2025-03-07T11:26:17.420063,none,-441,8175,-915,10,10,-35,user1
2025-03-07T11:26:17.425078,none,-441,8197,-959,6,6,-36,user1
2025-03-07T11:26:17.430101,none,-464,8168,-953,2,4,-33,user1
2025-03-07T11:26:17.435118,none,-471,8136,-957,0,2,-28,user1
2025-03-07T11:26:17.440126,none,-501,8152,-966,-6,1,-19,user1
2025-03-07T11:26:17.445143,none,-487,8165,-955,-10,0,-16,user1
2025-03-07T11:26:17.450165,none,-480,8182,-946,-10,-2,-13,user1
2025-03-07T11:26:17.455188,none,-472,8166,-974,-13,-3,-11,user1
2025-03-07T11:26:17.460204,none,-480,8197,-974,-9,-5,-5,user1
2025-03-07T11:26:17.465221,none,-492,8221,-950,-4,-7,-3,user1
2025-03-07T11:26:17.470244,none,-512,8213,-964,-5,-3,0,user1
2025-03-07T11:26:17.475267,none,-525,8147,-953,-6,0,0,user1
2025-03-07T11:26:17.480283,none,-516,8152,-993,-9,4,6,user1
2025-03-07T11:26:17.485397,none,-498,8158,-1011,-11,7,6,user1
2025-03-07T11:26:17.490435,none,-518,8199,-973,-10,9,5,user1
2025-03-07T11:26:17.495466,none,-501,8199,-960,-8,12,3,user1
2025-03-07T11:26:17.500485,none,-485,8244,-988,1,14,-3,user1
2025-03-07T11:26:17.505504,none,-482,8204,-995,3,17,-8,user1
2025-03-07T11:26:17.510533,none,-504,8206,-983,6,17,-10,user1
2025-03-07T11:26:17.515562,none,-509,8184,-977,8,18,-12,user1
2025-03-07T11:26:17.519672,none,-503,8193,-965,7,20,-19,user1
