timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id
2025-03-07 11:26:30.229072,none,-1033,7907,-2113,36,-15,19,user1
2025-03-07 11:26:30.234104,none,-1055,7870,-2135,34,-15,22,user1
2025-03-07 11:26:30.239138,none,-1068,7897,-2141,24,-13,24,user1
2025-03-07 11:26:30.244168,none,-1102,7854,-2144,17,-10,26,user1
2025-03-07 11:26:30.249582,none,-1032,7844,-2143,-4,-2,34,user1
2025-03-07 11:26:30.254622,none,-1030,7851,-2122,-13,-1,37,user1
2025-03-07 11:26:30.259656,none,-1003,7824,-2134,-20,3,41,user1
2025-03-07 11:26:30.264684,none,-997,7900,-2111,-32,10,54,user1
2025-03-07 11:26:30.269711,none,-987,7924,-2109,-40,12,53,user1
2025-03-07 11:26:30.274294,none,-1003,7969,-2116,-38,15,55,user1
2025-03-07 11:26:30.279328,none,-981,7984,-2108,-35,18,52,user1
2025-03-07 11:26:30.284434,none,-963,8026,-2058,-26,21,46,user1
2025-03-07 11:26:30.289490,none,-946,7994,-2079,-16,23,42,user1
2025-03-07 11:26:30.293575,none,-931,8060,-2055,-8,20,35,user1
2025-03-07 11:26:30.298635,none,-943,8072,-2055,3,24,30,user1
2025-03-07 11:26:30.303831,none,-942,8046,-2060,14,24,24,user1
2025-03-07 11:26:30.310173,none,-962,8021,-2029,28,24,14,user1
2025-03-07 11:26:30.315259,none,-963,7991,-2026,37,24,9,user1
2025-03-07 11:26:30.320117,none,-981,7969,-2049,44,23,10,user1
2025-03-07 11:26:30.325140,none,-994,7948,-2076,57,20,17,user1
2025-03-07 11:26:30.330154,none,-1023,7886,-2079,60,21,23,user1
2025-03-07 11:26:30.334821,none,-1012,7981,-2047,63,24,30,user1
2025-03-07 11:26:30.339865,none,-1006,7982,-2052,66,26,31,user1
2025-03-07 11:26:30.344931,none,-919,7883,-2083,56,29,41,user1
2025-03-07 11:26:30.350135,none,-894,7879,-2121,37,31,44,user1
2025-03-07 11:26:30.355196,none,-901,7865,-2123,22,32,48,user1
2025-03-07 11:26:30.360453,none,-875,7853,-2091,-10,35,54,user1
2025-03-07 11:26:30.365516,none,-860,7851,-2098,-30,36,55,user1
2025-03-07 11:26:30.370556,none,-845,7856,-2103,-45,34,60,user1
2025-03-07 11:26:30.375590,none,-902,7927,-2102,-55,32,67,user1
2025-03-07 11:26:30.380622,none,-883,7953,-2002,-62,27,75,user1
2025-03-07 11:26:30.385653,none,-873,7973,-2018,-61,25,77,user1
2025-03-07 11:26:30.389939,none,-860,7996,-1984,-54,25,77,user1
2025-03-07 11:26:30.394978,none,-841,8076,-1967,-50,27,75,user1
2025-03-07 11:26:30.400040,none,-831,8034,-1994,-39,23,71,user1
2025-03-07 11:26:30.405129,none,-855,8014,-1994,-26,23,62,user1
2025-03-07 11:26:30.410171,none,-870,7913,-1974,-24,22,60,user1
2025-03-07 11:26:30.415217,none,-856,7842,-1951,-25,23,60,user1
2025-03-07 11:26:30.420301,none,-822,7819,-1941,-29,22,70,user1
2025-03-07 11:26:30.425402,none,-781,7929,-1945,-36,8,90,user1
2025-03-07 11:26:30.430456,none,-786,7932,-1964,-40,2,97,user1
2025-03-07 11:26:30.434954,none,-773,7944,-1945,-44,-9,106,user1
2025-03-07 11:26:30.440026,none,-808,7939,-1934,-53,-20,109,user1
2025-03-07 11:26:30.445094,none,-837,7929,-1913,-68,-36,117,user1
2025-03-07 11:26:30.450305,none,-801,7933,-1913,-74,-43,119,user1
2025-03-07 11:26:30.455331,none,-832,7952,-1941,-81,-51,123,user1
2025-03-07 11:26:30.460412,none,-764,8023,-1943,-83,-65,124,user1
2025-03-07 11:26:30.465443,none,-802,8061,-1929,-77,-70,122,user1
2025-03-07 11:26:30.470471,none,-812,8118,-1891,-66,-71,117,user1
2025-03-07 11:26:30.475504,none,-820,8264,-1857,-49,-68,109,user1
2025-03-07 11:26:30.480938,up,-951,8850,-1669,42,-45,73,user1
2025-03-07 11:26:30.486105,up,-684,7124,-2251,92,-32,74,user1
2025-03-07 11:26:30.491256,up,-648,7148,-2406,30,-45,94,user1
2025-03-07 11:26:30.495823,up,-774,7573,-2295,-29,-54,106,user1
