timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id
2025-03-09T20:26:25.037751,none,-219,8095,-1546,-46,-19,11,user1
2025-03-09T20:26:25.041981,none,-249,8085,-1553,-46,-21,3,user1
2025-03-09T20:26:25.046037,none,-222,8137,-1538,-41,-21,-1,user1
2025-03-09T20:26:25.050553,none,-250,8109,-1560,-38,-20,-3,user1
2025-03-09T20:26:25.054591,none,-274,8131,-1570,-32,-17,-12,user1
2025-03-09T20:26:25.059077,none,-298,8165,-1533,-23,-11,-16,user1
2025-03-09T20:26:25.063416,none,-311,8185,-1542,-15,-3,-18,user1
2025-03-09T20:26:25.067814,none,-305,8200,-1526,-6,4,-24,user1
2025-03-09T20:26:25.072031,none,-285,8176,-1574,4,12,-29,user1
2025-03-09T20:26:25.076134,none,-264,8139,-1595,11,17,-30,user1
2025-03-09T20:26:25.080162,none,-252,8149,-1584,16,18,-33,user1
2025-03-09T20:26:25.084185,none,-278,8170,-1592,17,19,-38,user1
2025-03-09T20:26:25.088525,none,-279,8168,-1613,22,19,-39,user1
2025-03-09T20:26:25.092767,none,-317,8146,-1632,26,16,-35,user1
2025-03-09T20:26:25.097245,none,-333,8137,-1625,34,12,-37,user1
2025-03-09T20:26:25.101825,none,-330,8107,-1648,32,13,-31,user1
2025-03-09T20:26:25.105909,none,-330,8083,-1672,29,13,-27,user1
2025-03-09T20:26:25.109941,none,-342,8106,-1659,25,16,-22,user1
2025-03-09T20:26:25.113969,none,-353,8109,-1656,20,19,-16,user1
2025-03-09T20:26:25.118459,none,-364,8087,-1679,13,19,-9,user1
2025-03-09T20:26:25.122989,none,-339,8085,-1687,5,20,-6,user1
2025-03-09T20:26:25.127500,none,-309,8067,-1673,-5,23,0,user1
2025-03-09T20:26:25.131543,none,-298,8057,-1668,-14,20,7,user1
2025-03-09T20:26:25.135691,none,-327,8079,-1689,-20,17,15,user1
2025-03-09T20:26:25.139733,none,-303,8082,-1654,-30,13,18,user1
2025-03-09T20:26:25.143766,none,-339,8048,-1652,-36,11,25,user1
2025-03-09T20:26:25.148125,none,-311,8102,-1654,-39,9,34,user1
2025-03-09T20:26:25.152218,none,-292,8142,-1635,-43,6,40,user1
2025-03-09T20:26:25.156736,none,-264,8147,-1635,-45,6,45,user1
2025-03-09T20:26:25.161300,none,-307,8143,-1633,-45,1,51,user1
2025-03-09T20:26:25.165751,none,-311,8122,-1599,-45,0,51,user1
2025-03-09T20:26:25.170276,none,-297,8102,-1580,-41,-3,55,user1
2025-03-09T20:26:25.174310,none,-319,8086,-1590,-43,-3,56,user1
2025-03-09T20:26:25.178610,none,-302,8061,-1574,-42,-3,54,user1
2025-03-09T20:26:25.182639,none,-276,8085,-1592,-45,0,52,user1
2025-03-09T20:26:25.186666,none,-295,8083,-1604,-44,0,51,user1
2025-03-09T20:26:25.191109,none,-267,8150,-1607,-45,2,49,user1
2025-03-09T20:26:25.195615,none,-263,8130,-1596,-44,6,45,user1
2025-03-09T20:26:25.200138,none,-251,8140,-1595,-44,8,39,user1
2025-03-09T20:26:25.204481,none,-267,8116,-1581,-39,14,38,user1
2025-03-09T20:26:25.208815,none,-255,8110,-1583,-34,16,34,user1
2025-03-09T20:26:25.212930,none,-273,8136,-1547,-25,17,29,user1
2025-03-09T20:26:25.216955,none,-264,8148,-1537,-19,18,28,user1
2025-03-09T20:26:25.221268,none,-222,8130,-1582,-5,15,22,user1
2025-03-09T20:26:25.225835,none,-228,8091,-1556,-1,14,24,user1
2025-03-09T20:26:25.230065,none,-211,8056,-1552,-6,13,21,user1
2025-03-09T20:26:25.234095,none,-204,8056,-1565,-10,15,21,user1
2025-03-09T20:26:25.238398,none,-192,8105,-1581,-18,13,22,user1
2025-03-09T20:26:25.242581,none,-202,8136,-1565,-20,10,24,user1
2025-03-09T20:26:25.246612,none,-219,8147,-1545,-22,9,20,user1
2025-03-09T20:26:25.251127,none,-195,8171,-1526,-23,8,16,user1
2025-03-09T20:26:25.255484,none,-202,8175,-1529,-24,7,17,user1
2025-03-09T20:26:25.259618,none,-221,8159,-1544,-19,3,15,user1
2025-03-09T20:26:25.263908,none,-243,8166,-1554,-16,0,16,user1
2025-03-09T20:26:25.268343,none,-207,8138,-1548,-13,-3,16,user1
2025-03-09T20:26:25.272398,none,-208,8106,-1543,-9,-5,19,user1
2025-03-09T20:26:25.276929,none,-218,8111,-1557,-10,-7,18,user1
2025-03-09T20:26:25.281452,none,-202,8057,-1569,-8,-11,25,user1
2025-03-09T20:26:25.285622,none,-251,8035,-1562,-8,-10,28,user1
2025-03-09T20:26:25.289779,none,-251,8029,-1582,-12,-11,29,user1
2025-03-09T20:26:25.293878,none,-264,8055,-1563,-14,-11,33,user1
2025-03-09T20:26:25.298307,none,-256,8095,-1581,-22,-14,37,user1
2025-03-09T20:26:25.302776,none,-263,8096,-1575,-27,-17,33,user1
2025-03-09T20:26:25.306849,none,-315,8131,-1609,-26,-20,35,user1
2025-03-09T20:26:25.311251,none,-329,8193,-1573,-19,-21,34,user1
2025-03-09T20:26:25.315281,none,-344,8251,-1579,-10,-22,31,user1
2025-03-09T20:26:25.319313,none,-327,8266,-1573,-3,-24,27,user1
2025-03-09T20:26:25.323806,none,-314,8260,-1607,8,-22,24,user1
2025-03-09T20:26:25.328304,none,-301,8249,-1625,13,-17,20,user1
2025-03-09T20:26:25.332804,none,-304,8262,-1648,17,-16,17,user1
2025-03-09T20:26:25.336938,none,-306,8221,-1655,20,-10,12,user1
2025-03-09T20:26:25.341301,none,-273,8148,-1682,24,3,17,user1
2025-03-09T20:26:25.345832,none,-250,8095,-1705,23,14,20,user1
2025-03-09T20:26:25.350087,none,-239,8030,-1734,19,19,31,user1
2025-03-09T20:26:25.354487,none,-215,8039,-1690,13,27,39,user1
2025-03-09T20:26:25.358600,none,-180,8034,-1712,4,32,51,user1
2025-03-09T20:26:25.362627,none,-137,8017,-1688,0,37,57,user1
2025-03-09T20:26:25.366653,none,-126,7990,-1673,-6,34,64,user1
2025-03-09T20:26:25.371107,none,-88,7975,-1638,-10,32,69,user1
2025-03-09T20:26:25.375138,none,-79,7972,-1661,-16,28,69,user1
2025-03-09T20:26:25.379284,none,-58,7976,-1614,-24,21,69,user1
2025-03-09T20:26:25.383311,none,-59,8014,-1641,-29,9,63,user1
2025-03-09T20:26:25.387820,none,-69,7994,-1568,-31,-1,54,user1
