timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-03-27T16:55:10.338298,none,557,8143,916,2,-1,4,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.348925,none,579,8115,927,1,0,4,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.354050,none,555,8146,929,3,1,4,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.359090,none,552,8147,942,4,1,6,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.364114,none,566,8111,931,1,0,6,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.369139,none,563,8141,960,0,2,5,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.374166,none,553,8143,930,1,3,9,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.379185,none,573,8116,937,1,7,7,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.384202,none,567,8119,951,0,3,8,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.389217,none,560,8129,936,-1,4,9,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.394230,none,598,8171,964,0,4,7,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.399252,none,583,8139,970,-2,6,9,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.403910,none,593,8156,973,-6,5,6,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.408932,none,590,8189,952,-3,7,4,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.413961,none,623,8178,962,-1,9,2,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.418980,none,598,8184,946,0,8,2,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.423995,none,597,8205,927,1,7,0,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.429012,none,600,8205,931,6,7,-2,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.434025,none,608,8188,937,6,8,-6,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.439041,none,602,8185,943,7,9,-7,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.444206,none,615,8176,917,8,10,-9,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.449233,none,598,8196,923,8,8,-8,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.454255,none,576,8119,915,10,7,-8,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.459278,none,559,8134,939,9,5,-6,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.464300,none,567,8129,911,9,6,-2,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.469316,none,537,8140,923,8,5,-5,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.474327,none,515,8140,927,1,6,0,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.479345,none,528,8171,930,0,6,3,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.484373,none,512,8143,918,-1,5,1,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.489400,none,532,8133,926,-4,4,6,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.494418,none,523,8150,911,-2,2,8,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.499433,none,516,8172,935,0,1,8,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.503712,none,529,8151,921,0,2,8,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.508735,none,535,8152,929,-1,3,11,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.513763,none,558,8186,906,-1,0,11,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.518793,none,558,8150,902,1,0,16,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.523828,none,555,8198,923,2,-2,17,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.528858,none,566,8205,903,4,0,21,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.533893,none,540,8203,904,5,0,21,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.538925,none,587,8198,915,11,-2,25,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.544097,none,565,8159,902,13,-1,25,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.549299,none,599,8162,939,14,-1,25,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.554311,none,598,8156,918,13,0,16,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.559330,none,595,8164,969,14,2,14,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.564354,none,585,8149,921,10,2,11,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.569374,none,590,8106,921,10,1,7,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
2025-03-27T16:55:10.574394,none,600,8088,909,4,3,-2,user4_non-haptic,audio_user4_non-haptic_20250327_165510.wav
