starttime,group_index
2025-04-02 12:05:25.784210,0
2025-04-02 12:05:26.358855,1
2025-04-02 12:05:27.226541,2
2025-04-02 12:05:27.883010,3
2025-04-02 12:05:28.457538,4
2025-04-02 12:05:29.242974,5
2025-04-02 12:05:30.119806,6
2025-04-02 12:05:30.836565,7
2025-04-02 12:05:31.554120,8
2025-04-02 12:05:32.192635,9
2025-04-02 12:05:32.846426,10
2025-04-02 12:05:33.502233,11
2025-04-02 12:05:34.125474,12
2025-04-02 12:05:34.805640,13
2025-04-02 12:05:35.416867,14
2025-04-02 12:05:36.088951,15
2025-04-02 12:05:36.775801,16
2025-04-02 12:05:37.426522,17
2025-04-02 12:05:38.029662,18
2025-04-02 12:05:38.695862,19
2025-04-02 12:05:39.314730,20
2025-04-02 12:05:39.916838,21
2025-04-02 12:05:40.518730,22
2025-04-02 12:05:41.330698,23
2025-04-02 12:05:41.849471,24
2025-04-02 12:05:42.446727,25
2025-04-02 12:05:43.172259,26
2025-04-02 12:05:43.814854,27
2025-04-02 12:05:44.451367,28
2025-04-02 12:05:45.081330,29
2025-04-02 12:05:45.800847,30
2025-04-02 12:05:46.362776,31
2025-04-02 12:05:47.000782,32
2025-04-02 12:05:47.621864,33
2025-04-02 12:05:48.201596,34
2025-04-02 12:05:48.763489,35
2025-04-02 12:05:49.571900,36
2025-04-02 12:05:50.155485,37
2025-04-02 12:05:50.847784,38
2025-04-02 12:05:51.561248,39
2025-04-02 12:05:52.180687,40
2025-04-02 12:05:52.778013,41
2025-04-02 12:05:53.383504,42
2025-04-02 12:05:54.081893,43
2025-04-02 12:05:54.724446,44
2025-04-02 12:05:55.427757,45
2025-04-02 12:05:56.081802,46
2025-04-02 12:05:56.667791,47
2025-04-02 12:05:57.216464,48
2025-04-02 12:05:57.817844,49
2025-04-02 12:05:58.555026,50
2025-04-02 12:05:59.155921,51
2025-04-02 12:05:59.837116,52
2025-04-02 12:06:00.415476,53
2025-04-02 12:06:01.117537,54
2025-04-02 12:06:01.748031,55
2025-04-02 12:06:02.406130,56
2025-04-02 12:06:02.960155,57
2025-04-02 12:06:03.675966,58
2025-04-02 12:06:04.246429,59
2025-04-02 12:06:04.907367,60
2025-04-02 12:06:05.498915,61
2025-04-02 12:06:06.079993,62
2025-04-02 12:06:06.717660,63
2025-04-02 12:06:07.355993,64
2025-04-02 12:06:07.990494,65
2025-04-02 12:06:08.546342,66
2025-04-02 12:06:09.096270,67
2025-04-02 12:06:09.808332,68
2025-04-02 12:06:10.413838,69
2025-04-02 12:06:11.007878,70
2025-04-02 12:06:11.716659,71
2025-04-02 12:06:12.256955,72
2025-04-02 12:06:12.814061,73
2025-04-02 12:06:13.592047,74
2025-04-02 12:06:14.217322,75
2025-04-02 12:06:14.956894,76
2025-04-02 12:06:15.586783,77
2025-04-02 12:06:16.215380,78
2025-04-02 12:06:17.013698,79
2025-04-02 12:06:17.712154,80
2025-04-02 12:06:18.461186,81
2025-04-02 12:06:19.115252,82
2025-04-02 12:06:19.826091,83
2025-04-02 12:06:20.813213,84
2025-04-02 12:06:21.570866,85
2025-04-02 12:06:22.237810,86
2025-04-02 12:06:22.931475,87
2025-04-02 12:06:23.618735,88
2025-04-02 12:06:24.328156,89
2025-04-02 12:06:24.995656,90
2025-04-02 12:06:25.751707,91
2025-04-02 12:06:26.403312,92
2025-04-02 12:06:27.110851,93
2025-04-02 12:06:27.749502,94
2025-04-02 12:06:28.423985,95
2025-04-02 12:06:29.052602,96
2025-04-02 12:06:29.697692,97
2025-04-02 12:06:30.486043,98
2025-04-02 12:06:31.128670,99
2025-04-02 12:06:31.768711,100
2025-04-02 12:06:32.433416,101
2025-04-02 12:06:33.089921,102
2025-04-02 12:06:33.751552,103
2025-04-02 12:06:34.358174,104
2025-04-02 12:06:35.108595,105
2025-04-02 12:06:36.092034,106
2025-04-02 12:06:36.815843,107
2025-04-02 12:06:37.474884,108
2025-04-02 12:06:38.143946,109
2025-04-02 12:06:38.864225,110
2025-04-02 12:06:39.550166,111
2025-04-02 12:06:40.223462,112
2025-04-02 12:06:40.830214,113
2025-04-02 12:06:41.487291,114
2025-04-02 12:06:42.032501,115
2025-04-02 12:06:42.749876,116
2025-04-02 12:06:43.474528,117
2025-04-02 12:06:44.145345,118
2025-04-02 12:06:44.819666,119
2025-04-02 12:06:45.592934,120
2025-04-02 12:06:46.422534,121
2025-04-02 12:06:47.090618,122
2025-04-02 12:06:47.720205,123
2025-04-02 12:06:48.308924,124
2025-04-02 12:06:48.983549,125
2025-04-02 12:06:49.705179,126
2025-04-02 12:06:50.302717,127
