starttime,group_index
2025-04-02 11:55:46.474546,0
2025-04-02 11:55:47.235098,1
2025-04-02 11:55:47.949448,2
2025-04-02 11:55:48.645948,3
2025-04-02 11:55:49.402686,4
2025-04-02 11:55:50.122277,5
2025-04-02 11:55:50.761709,6
2025-04-02 11:55:51.471128,7
2025-04-02 11:55:52.176153,8
2025-04-02 11:55:52.873780,9
2025-04-02 11:55:53.493294,10
2025-04-02 11:55:54.149185,11
2025-04-02 11:55:54.739517,12
2025-04-02 11:55:55.436952,13
2025-04-02 11:55:56.039273,14
2025-04-02 11:55:56.703431,15
2025-04-02 11:55:57.388906,16
2025-04-02 11:55:58.081156,17
2025-04-02 11:55:58.718143,18
2025-04-02 11:55:59.425771,19
2025-04-02 11:56:00.099871,20
2025-04-02 11:56:00.774190,21
2025-04-02 11:56:01.413650,22
2025-04-02 11:56:02.125669,23
2025-04-02 11:56:02.819747,24
2025-04-02 11:56:03.480727,25
2025-04-02 11:56:04.149849,26
2025-04-02 11:56:04.833097,27
2025-04-02 11:56:05.500703,28
2025-04-02 11:56:06.165182,29
2025-04-02 11:56:06.860712,30
2025-04-02 11:56:07.571065,31
2025-04-02 11:56:08.240720,32
2025-04-02 11:56:08.880918,33
2025-04-02 11:56:09.559834,34
2025-04-02 11:56:10.292245,35
2025-04-02 11:56:11.072215,36
2025-04-02 11:56:11.734317,37
2025-04-02 11:56:12.456232,38
2025-04-02 11:56:13.278948,39
2025-04-02 11:56:14.038353,40
2025-04-02 11:56:14.723822,41
2025-04-02 11:56:15.527555,42
2025-04-02 11:56:16.164853,43
2025-04-02 11:56:16.896226,44
2025-04-02 11:56:17.576822,45
2025-04-02 11:56:18.224936,46
2025-04-02 11:56:18.879261,47
2025-04-02 11:56:19.657865,48
2025-04-02 11:56:20.314466,49
2025-04-02 11:56:21.053819,50
2025-04-02 11:56:21.689502,51
2025-04-02 11:56:22.550410,52
2025-04-02 11:56:23.182777,53
2025-04-02 11:56:23.846264,54
2025-04-02 11:56:24.466724,55
2025-04-02 11:56:25.209319,56
2025-04-02 11:56:25.825236,57
2025-04-02 11:56:26.502323,58
2025-04-02 11:56:27.141132,59
2025-04-02 11:56:27.845386,60
2025-04-02 11:56:28.580269,61
2025-04-02 11:56:29.262922,62
2025-04-02 11:56:29.897352,63
2025-04-02 11:56:30.574470,64
2025-04-02 11:56:31.292664,65
2025-04-02 11:56:32.066485,66
2025-04-02 11:56:32.880043,67
2025-04-02 11:56:33.529830,68
2025-04-02 11:56:34.210817,69
2025-04-02 11:56:34.919455,70
2025-04-02 11:56:35.626127,71
2025-04-02 11:56:36.180775,72
2025-04-02 11:56:36.871259,73
2025-04-02 11:56:37.529525,74
2025-04-02 11:56:38.256553,75
2025-04-02 11:56:38.931346,76
2025-04-02 11:56:39.588100,77
2025-04-02 11:56:40.278057,78
2025-04-02 11:56:40.892535,79
2025-04-02 11:56:41.588650,80
2025-04-02 11:56:42.217305,81
2025-04-02 11:56:42.860784,82
2025-04-02 11:56:43.600167,83
2025-04-02 11:56:44.174180,84
2025-04-02 11:56:44.824498,85
2025-04-02 11:56:45.413553,86
2025-04-02 11:56:46.086753,87
2025-04-02 11:56:46.738530,88
2025-04-02 11:56:47.421559,89
2025-04-02 11:56:48.046093,90
2025-04-02 11:56:48.770510,91
2025-04-02 11:56:49.424651,92
2025-04-02 11:56:50.040683,93
2025-04-02 11:56:50.771180,94
2025-04-02 11:56:51.447664,95
2025-04-02 11:56:52.109110,96
2025-04-02 11:56:52.847143,97
2025-04-02 11:56:53.537347,98
2025-04-02 11:56:54.273364,99
2025-04-02 11:56:54.958313,100
2025-04-02 11:56:55.689942,101
2025-04-02 11:56:56.353860,102
2025-04-02 11:56:57.089178,103
2025-04-02 11:56:57.751516,104
2025-04-02 11:56:58.500030,105
2025-04-02 11:56:59.232324,106
2025-04-02 11:56:59.848037,107
2025-04-02 11:57:00.445222,108
2025-04-02 11:57:01.080367,109
2025-04-02 11:57:01.779169,110
2025-04-02 11:57:02.535627,111
2025-04-02 11:57:03.138008,112
2025-04-02 11:57:03.823073,113
2025-04-02 11:57:04.491191,114
2025-04-02 11:57:05.107167,115
2025-04-02 11:57:05.844181,116
2025-04-02 11:57:06.630300,117
2025-04-02 11:57:07.299821,118
2025-04-02 11:57:08.082894,119
2025-04-02 11:57:08.776775,120
2025-04-02 11:57:09.531615,121
2025-04-02 11:57:10.216108,122
