starttime,group_index
2025-04-02 12:03:41.063117,0
2025-04-02 12:03:41.626802,1
2025-04-02 12:03:42.194227,2
2025-04-02 12:03:42.781161,3
2025-04-02 12:03:43.316083,4
2025-04-02 12:03:43.987478,5
2025-04-02 12:03:44.806768,6
2025-04-02 12:03:45.479347,7
2025-04-02 12:03:46.170106,8
2025-04-02 12:03:46.666984,9
2025-04-02 12:03:47.335620,10
2025-04-02 12:03:47.967582,11
2025-04-02 12:03:48.558291,12
2025-04-02 12:03:49.121770,13
2025-04-02 12:03:49.655820,14
2025-04-02 12:03:50.271248,15
2025-04-02 12:03:50.937702,16
2025-04-02 12:03:51.468694,17
2025-04-02 12:03:52.106242,18
2025-04-02 12:03:52.686964,19
2025-04-02 12:03:53.327692,20
2025-04-02 12:03:53.891936,21
2025-04-02 12:03:54.490695,22
2025-04-02 12:03:55.050522,23
2025-04-02 12:03:55.682670,24
2025-04-02 12:03:56.337909,25
2025-04-02 12:03:56.947586,26
2025-04-02 12:03:57.513886,27
2025-04-02 12:03:58.152338,28
2025-04-02 12:03:58.695172,29
2025-04-02 12:03:59.226120,30
2025-04-02 12:04:00.007002,31
2025-04-02 12:04:00.545465,32
2025-04-02 12:04:01.069908,33
2025-04-02 12:04:01.714305,34
2025-04-02 12:04:02.236474,35
2025-04-02 12:04:02.992435,36
2025-04-02 12:04:03.475223,37
2025-04-02 12:04:03.999975,38
2025-04-02 12:04:04.860415,39
2025-04-02 12:04:05.393793,40
2025-04-02 12:04:05.960004,41
2025-04-02 12:04:06.597187,42
2025-04-02 12:04:07.129093,43
2025-04-02 12:04:07.654144,44
2025-04-02 12:04:08.295255,45
2025-04-02 12:04:08.951590,46
2025-04-02 12:04:09.519721,47
2025-04-02 12:04:10.107968,48
2025-04-02 12:04:10.707111,49
2025-04-02 12:04:11.099114,50
2025-04-02 12:04:11.801985,51
2025-04-02 12:04:12.572839,52
2025-04-02 12:04:13.227050,53
2025-04-02 12:04:13.913218,54
2025-04-02 12:04:14.634259,55
2025-04-02 12:04:15.310373,56
2025-04-02 12:04:15.817142,57
2025-04-02 12:04:16.611598,58
2025-04-02 12:04:17.246703,59
2025-04-02 12:04:17.840175,60
2025-04-02 12:04:18.559912,61
2025-04-02 12:04:19.148354,62
2025-04-02 12:04:19.791656,63
2025-04-02 12:04:20.364221,64
2025-04-02 12:04:21.021997,65
2025-04-02 12:04:21.607943,66
2025-04-02 12:04:22.298831,67
2025-04-02 12:04:23.058837,68
2025-04-02 12:04:23.701789,69
2025-04-02 12:04:24.229552,70
2025-04-02 12:04:24.835740,71
2025-04-02 12:04:25.452114,72
2025-04-02 12:04:26.114964,73
2025-04-02 12:04:26.890800,74
2025-04-02 12:04:27.443521,75
2025-04-02 12:04:28.060432,76
2025-04-02 12:04:28.749011,77
2025-04-02 12:04:29.524008,78
2025-04-02 12:04:30.187799,79
2025-04-02 12:04:30.707932,80
2025-04-02 12:04:31.487299,81
2025-04-02 12:04:32.045378,82
2025-04-02 12:04:32.758836,83
2025-04-02 12:04:33.378522,84
2025-04-02 12:04:34.021028,85
2025-04-02 12:04:34.677820,86
2025-04-02 12:04:35.425604,87
2025-04-02 12:04:36.192795,88
2025-04-02 12:04:36.797981,89
2025-04-02 12:04:37.465246,90
2025-04-02 12:04:38.061391,91
2025-04-02 12:04:38.895552,92
2025-04-02 12:04:39.575564,93
2025-04-02 12:04:40.220727,94
2025-04-02 12:04:40.795777,95
2025-04-02 12:04:41.441016,96
2025-04-02 12:04:42.295845,97
2025-04-02 12:04:42.987876,98
2025-04-02 12:04:43.546072,99
2025-04-02 12:04:44.153674,100
2025-04-02 12:04:44.760818,101
2025-04-02 12:04:45.501978,102
2025-04-02 12:04:46.159802,103
2025-04-02 12:04:46.764664,104
2025-04-02 12:04:47.453701,105
2025-04-02 12:04:48.119059,106
2025-04-02 12:04:48.885397,107
2025-04-02 12:04:49.418338,108
2025-04-02 12:04:50.182459,109
2025-04-02 12:04:50.718820,110
2025-04-02 12:04:51.447157,111
2025-04-02 12:04:51.962788,112
2025-04-02 12:04:52.643199,113
2025-04-02 12:04:53.312060,114
2025-04-02 12:04:54.018149,115
2025-04-02 12:04:54.626930,116
2025-04-02 12:04:55.320004,117
2025-04-02 12:04:56.032993,118
2025-04-02 12:04:56.760971,119
2025-04-02 12:04:57.375935,120
2025-04-02 12:04:58.047201,121
2025-04-02 12:04:58.650674,122
2025-04-02 12:04:59.393484,123
2025-04-02 12:05:00.124097,124
2025-04-02 12:05:00.900729,125
2025-04-02 12:05:01.579219,126
2025-04-02 12:05:02.174130,127
2025-04-02 12:05:02.939277,128
2025-04-02 12:05:03.709632,129
2025-04-02 12:05:04.434007,130
2025-04-02 12:05:05.190872,131
2025-04-02 12:05:05.858631,132
