timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file,group_index
2025-04-02 12:02:07.551673,none,-332,5430,-6162,68,9,-28,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.556699,none,-346,5413,-6150,40,3,-40,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.561712,none,-360,5419,-6138,32,0,-40,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.566841,none,-333,5435,-6095,18,-2,-36,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.571877,none,-330,5457,-6080,9,-5,-32,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.576906,none,-366,5481,-6071,3,-6,-27,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.581928,none,-371,5468,-6103,-1,-5,-27,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.586957,none,-439,5454,-6159,-7,-2,-26,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.591986,none,-527,5455,-6199,-19,3,-21,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.597022,none,-583,5441,-6359,-68,15,-11,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.602089,cross,-314,6106,-6112,-82,11,8,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.606420,cross,-724,5569,-6190,-27,-11,53,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.611512,cross,-496,4618,-6578,-103,30,-34,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.617071,cross,-325,5546,-6099,-167,-8,-43,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.622247,cross,-407,5635,-6077,-156,-21,-36,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.627341,cross,-437,5551,-6099,-156,-22,-28,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.632831,cross,-415,5575,-6029,-161,-22,-22,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.637914,cross,-433,5830,-5991,-142,-13,-10,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.643057,cross,-360,5893,-5965,-120,-9,-7,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.648183,cross,-386,5881,-5969,-100,-11,-8,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.653267,cross,-454,5794,-6091,-81,-7,-7,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.658387,cross,-403,5734,-6130,-82,-5,-5,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.663402,cross,-344,5741,-6093,-86,-9,-1,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
2025-04-02 12:02:07.669197,cross,-418,5666,-6164,-90,-13,7,u1up_non-haptic,audio_u1up_non-haptic_20250402_120206.wav,0
