timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-03-24T23:30:09.697268,none,-694,7461,-3491,-3,15,30,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.703885,none,-671,7433,-3467,-2,18,25,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.708007,none,-683,7441,-3476,-7,15,22,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.712475,none,-652,7474,-3478,-7,13,20,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.716839,none,-606,7481,-3454,-4,15,19,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.721165,none,-632,7493,-3482,-2,15,15,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.725234,none,-593,7499,-3476,-2,14,14,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.729641,none,-602,7485,-3460,1,18,11,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.734019,none,-596,7460,-3441,4,15,9,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.738233,none,-560,7461,-3439,7,15,4,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.742290,none,-580,7469,-3449,10,16,3,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.746543,none,-571,7436,-3447,11,16,1,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.750658,none,-557,7460,-3437,7,11,0,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.754789,none,-598,7453,-3457,4,6,-2,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.759273,none,-628,7479,-3462,-5,1,-4,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.763396,none,-629,7482,-3442,-8,-5,-2,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.767769,none,-641,7524,-3440,-9,-7,-6,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.771917,none,-635,7563,-3424,-10,-8,-5,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.776255,none,-695,7568,-3435,-2,-6,-6,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.780655,none,-671,7588,-3463,1,-4,-6,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.785175,none,-710,7581,-3452,7,-1,-6,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.789615,none,-718,7594,-3477,8,2,-5,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.793654,none,-724,7614,-3445,12,6,0,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.797862,none,-685,7594,-3460,15,10,4,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
2025-03-24T23:30:09.801961,none,-708,7564,-3484,17,9,10,haptic_user_fixed-haptic,audio_haptic_user_fixed-haptic_20250324_233009.wav
