timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-27T15:02:08.748080,none,1516,6778,-4627,-17,-51,77,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.755560,none,1521,6745,-4655,-8,-46,65,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.760774,none,1526,6729,-4688,2,-40,59,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.765823,none,1564,6734,-4701,16,-35,44,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.770860,none,1569,6765,-4745,46,-32,18,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.775249,none,1556,6795,-4734,61,-29,0,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.780265,none,1554,6778,-4793,70,-24,-17,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.785281,none,1552,6817,-4802,75,-14,-37,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.790306,none,1592,6846,-4846,77,-11,-60,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.794559,none,1595,6841,-4874,79,-7,-80,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.799138,none,1587,6844,-4901,91,9,-106,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.804151,none,1550,6817,-4921,99,18,-113,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.808581,none,1504,6808,-4880,106,27,-116,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.813592,none,1480,6762,-4887,114,40,-115,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.817921,none,1453,6767,-4885,127,49,-113,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.822931,none,1426,6681,-4882,138,69,-103,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.827941,none,1426,6668,-4915,141,78,-95,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.832469,none,1441,6669,-4902,147,84,-90,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.837221,none,1467,6675,-4868,155,90,-83,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.841914,none,1477,6733,-4894,166,98,-87,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.846994,none,1446,6784,-4862,188,103,-99,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.852003,none,1401,6786,-4854,203,107,-108,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.857012,none,1342,6750,-4818,215,110,-115,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
2025-04-27T15:02:08.862031,none,1291,6696,-4852,222,113,-121,h_chirp_u1_noise2,h_chirp_u1_noise2_20250427_150208.wav
