timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-03-27T16:04:54.112135,none,833,8102,-741,-4,9,66,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.120096,none,850,8085,-733,-12,11,69,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.125202,none,883,8113,-708,-20,10,68,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.130232,none,918,8155,-696,-22,2,68,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.135255,none,926,8110,-686,-22,-7,62,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.140277,none,961,8127,-668,-23,-13,53,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.145298,none,973,8129,-668,-16,-21,48,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.150314,none,978,8097,-684,-11,-38,32,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.155329,none,998,8085,-697,-7,-46,27,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.160342,none,997,8109,-711,-10,-55,18,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.165366,none,962,8132,-691,-3,-68,3,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.170381,none,972,8120,-681,0,-73,-2,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.175392,none,943,8144,-683,8,-77,-4,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.180413,none,930,8123,-652,13,-77,-5,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.185439,none,917,8051,-672,15,-77,-9,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.190447,none,938,8046,-644,12,-78,-5,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.195472,none,933,8029,-630,5,-76,-5,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.200524,none,969,8030,-630,-3,-77,-2,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.205548,none,950,8016,-566,-22,-69,-7,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.210565,none,997,8069,-541,-35,-66,-14,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.215721,none,1079,8159,-473,-43,-60,-26,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.220749,none,1098,8215,-453,-50,-57,-35,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.225773,none,1143,8288,-360,-49,-65,-55,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.230786,none,1193,8311,-281,-43,-69,-65,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.235799,none,1247,8386,-261,-38,-77,-76,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.240808,none,1292,8398,-235,-29,-85,-85,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.245818,none,1430,8383,-217,-9,-118,-99,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.250835,none,1474,8404,-182,4,-140,-104,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.255864,none,1506,8414,-184,22,-164,-106,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.260895,none,1603,8489,-153,47,-189,-108,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.265915,none,1486,8591,-38,103,-225,-122,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.270933,none,1442,8512,-37,128,-247,-137,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.275958,none,1411,8453,-15,151,-270,-146,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.280984,none,1413,8412,-46,168,-295,-152,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.286005,none,1398,8384,-103,200,-343,-155,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.291021,none,1343,8345,-107,211,-367,-156,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.296046,none,1281,8362,-125,217,-391,-155,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.301076,none,1245,8346,-147,223,-413,-152,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.306094,none,1134,8282,-169,236,-446,-140,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.311114,none,1130,8272,-222,243,-460,-131,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.316309,none,1090,8277,-257,248,-473,-118,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.321337,none,1064,8214,-280,254,-485,-106,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.326365,none,1022,8183,-389,260,-498,-92,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.331380,none,989,8156,-444,259,-503,-81,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.336374,none,974,8114,-477,261,-503,-76,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.341401,none,949,8050,-530,259,-502,-68,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.345945,none,954,8040,-657,248,-498,-65,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.350823,none,927,8035,-718,241,-494,-65,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.355852,none,909,7970,-804,230,-491,-71,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.360879,none,887,7932,-886,218,-484,-71,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.365897,none,691,7904,-999,192,-468,-81,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.370963,none,616,7896,-1033,183,-460,-86,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.375984,none,547,7907,-1101,173,-448,-95,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.381005,none,489,7948,-1160,166,-437,-105,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.386026,none,383,8056,-1246,170,-405,-130,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.391049,none,366,8057,-1259,176,-388,-138,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.396084,none,334,8073,-1301,190,-370,-149,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.401161,none,323,8121,-1344,207,-355,-158,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.406235,none,-126,7888,-1454,209,-335,-153,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.411353,none,-443,7796,-1467,135,-359,-89,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.416458,none,-295,8442,-1464,65,-386,26,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.421529,none,-76,8791,-1515,70,-367,108,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
2025-03-27T16:04:54.426595,none,-21,8806,-1702,132,-313,213,user1_flexible-haptic,audio_user1_flexible-haptic_20250327_160454.wav
