timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-27T17:16:08.203402,none,407,7507,-3569,25,16,0,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.210692,none,415,7460,-3574,31,19,-1,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.215266,none,420,7459,-3543,37,19,-1,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.220321,none,394,7478,-3534,40,21,-1,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.225360,none,378,7431,-3541,45,23,3,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.229664,none,376,7458,-3549,46,24,8,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.234707,none,417,7435,-3566,47,23,7,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.239744,none,386,7392,-3544,46,23,12,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.244314,none,400,7387,-3583,47,26,17,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.249336,none,397,7309,-3549,35,26,26,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.254355,none,382,7296,-3582,26,30,35,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.259379,none,396,7247,-3581,19,30,41,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.264403,none,436,7251,-3585,11,31,52,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.269368,none,466,7186,-3572,-7,29,64,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.274388,none,474,7120,-3566,-20,26,72,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.279420,none,507,7141,-3606,-29,21,80,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.284441,none,547,7123,-3574,-38,18,84,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
2025-04-27T17:16:08.289450,none,561,7097,-3609,-48,15,84,h_chirp_u1_sit,h_chirp_u1_sit_20250427_171608.wav
