timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-02T11:55:45.414816,none,-456,7568,-3046,27,19,30,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.420167,none,-452,7579,-3061,23,12,30,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.425224,none,-460,7632,-3006,24,5,30,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.430270,none,-435,7641,-3008,24,-5,25,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.435371,none,-415,7671,-3060,26,-17,18,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.440432,none,-372,7698,-3112,25,-22,15,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.445459,none,-389,7724,-3063,24,-24,11,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.450482,none,-425,7737,-3120,22,-25,13,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.455519,none,-434,7774,-3148,24,-22,12,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.460534,none,-438,7768,-3138,28,-19,13,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.465552,none,-459,7782,-3156,29,-17,15,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.469669,none,-453,7760,-3156,32,-13,17,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.474686,none,-465,7738,-3143,32,-10,20,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.479698,none,-475,7719,-3098,37,-6,25,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.484716,none,-467,7732,-3070,37,-6,26,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.489740,none,-469,7715,-3068,42,-4,28,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.494768,none,-484,7687,-3079,46,-6,27,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.499369,none,-529,7617,-3017,53,-6,17,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.504090,none,-517,7604,-3019,53,-6,17,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.509123,none,-509,7568,-3039,48,-9,13,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.514269,none,-493,7570,-3048,45,-11,6,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.519330,none,-495,7635,-3053,39,-11,-4,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.524348,none,-532,7683,-3028,45,-8,-19,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
2025-04-02T11:55:45.529386,none,-567,7648,-3022,48,-9,-33,u1left_non-haptic,audio_u1left_non-haptic_20250402_115545.wav
