timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-02T12:00:19.547787,none,774,7447,-3689,35,29,36,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.553235,none,834,7458,-3629,22,34,57,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.558343,none,794,7435,-3596,13,34,71,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.562966,none,777,7462,-3568,6,36,83,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.568164,none,916,7528,-3562,-16,34,103,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.573233,none,1014,7501,-3549,-27,34,115,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.578257,none,1114,7478,-3511,-33,29,134,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.583276,none,1122,7496,-3446,-50,26,150,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.588293,none,1128,7758,-3328,-54,19,176,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.593310,none,1171,7868,-3278,-37,14,181,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.598321,none,1202,7870,-3230,-12,10,183,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.603330,none,1245,7848,-3184,11,2,179,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.608339,none,1369,7724,-3188,42,-17,169,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.613362,none,1407,7671,-3204,55,-32,167,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.617431,none,1457,7658,-3191,66,-49,166,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.622462,none,1505,7659,-3147,77,-66,166,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.627493,none,1564,7606,-3162,81,-83,170,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.632517,none,1618,7538,-3248,81,-129,183,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.637530,none,1613,7565,-3215,75,-151,187,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.642548,none,1606,7575,-3189,69,-169,194,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.647706,none,1598,7584,-3127,61,-180,196,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.652732,none,1579,7534,-3037,42,-190,199,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.657749,none,1547,7441,-3007,30,-187,205,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.662779,none,1618,7419,-2984,18,-181,216,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.666905,none,1656,7578,-2973,11,-177,222,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.671928,none,1666,7764,-2939,17,-177,218,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.676943,none,1659,7829,-2903,58,-179,187,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.681963,none,1673,7753,-2918,81,-183,168,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.686991,none,1671,7524,-2913,91,-185,157,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.692016,none,1783,7303,-2920,89,-185,149,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.697036,none,2009,7142,-2890,50,-195,161,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.702070,none,2145,7190,-2852,26,-200,167,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.707104,none,2207,7197,-2860,7,-204,175,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.712136,none,2216,7319,-2884,-15,-229,173,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.717160,none,2168,7394,-2874,-19,-247,165,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.722182,none,2138,7408,-2821,-9,-266,152,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.727207,none,2132,7514,-2803,5,-290,137,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.732242,none,2062,7570,-2807,52,-339,91,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.737260,none,2021,7531,-2865,79,-359,71,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.742286,none,2012,7466,-2912,95,-379,51,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.747468,none,1953,7346,-2936,107,-400,37,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.752489,none,1808,7225,-2977,103,-427,24,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.757505,none,1789,7232,-3005,92,-436,22,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.762632,none,1694,7201,-3082,74,-441,23,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
2025-04-02T12:00:19.767649,none,1567,7127,-3132,49,-442,27,u1right_non-haptic,audio_u1right_non-haptic_20250402_120019.wav
