timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-15T04:05:44.384187,none,-816,8096,556,27,53,21,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.390591,none,-855,8075,550,32,58,26,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.395660,none,-881,8111,559,36,61,30,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.400708,none,-901,8076,591,42,68,35,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.405431,none,-898,8055,575,45,72,34,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.410464,none,-939,8077,583,49,78,38,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.415485,none,-911,8062,558,52,82,39,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.420507,none,-893,8156,610,58,94,36,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.425524,none,-929,8135,590,60,101,31,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.430537,none,-928,8114,619,60,105,26,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.435552,none,-942,8150,655,63,114,23,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.440401,none,-914,8191,669,69,125,16,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.445433,none,-902,8209,658,77,130,19,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.450234,none,-900,8181,643,80,135,19,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.455254,none,-855,8167,647,84,136,24,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.460273,none,-778,8130,620,98,135,33,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.464932,none,-813,8131,622,105,131,38,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.469972,none,-810,8069,608,107,127,46,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.474989,none,-772,8088,621,113,121,54,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.480017,none,-772,8063,614,119,116,63,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.485155,none,-732,8047,521,132,101,75,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.490183,none,-758,8056,537,136,93,82,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.495201,none,-739,8035,537,139,79,87,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.500211,none,-786,8138,516,139,64,90,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.505225,none,-769,8158,514,140,55,89,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.510240,none,-767,8157,515,142,45,85,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.515252,none,-756,8219,498,142,33,82,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.520263,none,-752,8294,504,140,14,66,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.525281,none,-775,8336,536,146,1,56,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.529706,none,-768,8322,531,151,-7,43,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.534817,none,-761,8340,527,155,-14,36,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.539834,none,-734,8347,507,160,-24,28,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.544862,none,-762,8317,499,168,-43,17,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.549887,none,-781,8350,507,171,-48,11,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.554910,none,-804,8295,530,173,-53,8,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.559938,none,-812,8302,540,178,-60,5,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.564962,none,-853,8291,568,188,-60,3,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.569987,none,-880,8250,572,193,-55,5,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.575011,none,-898,8166,590,201,-54,6,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.580036,none,-930,8081,601,201,-46,10,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.585163,none,-956,7924,571,188,-35,21,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.590190,none,-980,7891,543,172,-27,26,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.595215,none,-928,7856,526,153,-17,29,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.600282,none,-795,7959,447,113,0,29,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.605303,none,-718,8000,411,95,5,25,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.610327,none,-667,8081,393,83,15,19,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.615351,none,-607,8183,427,74,23,11,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.620367,none,-544,8238,462,68,38,-3,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.625387,none,-545,8246,455,72,42,-14,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.630414,none,-525,8302,488,78,47,-16,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.635440,none,-564,8317,476,87,47,-20,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.640513,none,-616,8393,502,117,54,-25,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.645528,none,-635,8354,499,134,55,-25,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.650554,none,-643,8366,480,152,54,-24,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.655581,none,-635,8387,473,174,59,-24,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.660598,none,-682,8290,390,206,57,-18,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.665623,none,-672,8290,356,225,56,-15,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.670651,none,-692,8267,364,237,56,-14,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.675679,none,-691,8285,311,255,60,-14,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.680702,none,-722,8210,284,290,65,-16,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.685907,none,-739,8220,246,301,64,-21,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.690938,none,-755,8168,225,317,67,-25,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.695965,none,-799,8129,182,322,67,-28,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.700990,none,-796,8161,180,338,69,-35,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.706017,none,-811,8075,158,341,68,-40,u1cir,u1cir_20250415_040544.wav
2025-04-15T04:05:44.711039,none,-817,8145,150,347,68,-41,u1cir,u1cir_20250415_040544.wav
