timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-15T03:58:10.739225,none,-1029,6923,-3504,73,98,61,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.745512,none,-986,6927,-3512,45,102,52,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.750571,none,-1038,6910,-3451,22,103,44,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.755705,none,-1026,6900,-3373,-5,107,36,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.759949,none,-1000,6924,-3363,-35,108,28,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.764990,none,-955,7124,-3381,-75,107,10,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.770024,none,-947,7241,-3398,-90,103,0,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.774428,none,-988,7342,-3364,-101,98,-10,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.779451,none,-1038,7440,-3324,-110,97,-21,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.784463,none,-1182,7515,-3200,-116,96,-26,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.789473,none,-1196,7472,-3189,-113,100,-22,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.794485,none,-1181,7527,-3246,-110,104,-13,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.799500,none,-1131,7587,-3348,-104,106,0,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.804509,none,-1092,7647,-3441,-79,98,21,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.809527,none,-1103,7618,-3458,-68,93,33,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.814554,none,-1106,7628,-3455,-67,91,37,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.819583,none,-1141,7572,-3458,-65,88,37,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.823924,none,-1153,7525,-3436,-66,90,36,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.828950,none,-1162,7555,-3431,-74,92,32,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.833970,none,-1165,7514,-3371,-83,95,25,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.839098,none,-1176,7556,-3357,-93,100,19,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.844119,none,-1188,7672,-3342,-77,106,9,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.849136,none,-1148,7620,-3320,-66,108,8,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.854162,none,-1139,7555,-3337,-60,109,16,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.859189,none,-1118,7477,-3309,-50,109,26,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.864209,none,-1102,7353,-3242,-48,107,53,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.869220,none,-1063,7328,-3280,-54,106,61,u1right,u1right_20250415_035810.wav
2025-04-15T03:58:10.874227,none,-1026,7282,-3263,-64,105,74,u1right,u1right_20250415_035810.wav
