timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-15T00:14:04.005366,none,924,7312,-3968,-32,21,46,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.018419,none,943,7275,-3970,-6,19,47,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.023513,none,929,7265,-3970,6,16,46,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.028551,none,947,7242,-4008,22,13,43,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.033576,none,935,7163,-3994,27,13,39,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.038597,none,962,7171,-4035,32,10,34,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.043617,none,924,7107,-4016,35,11,32,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.048634,none,913,7067,-4039,33,10,24,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.053649,none,949,7078,-4069,29,11,22,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.058662,none,932,7061,-4060,23,9,20,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.063673,none,920,7101,-4053,17,11,12,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.067749,none,912,7100,-4061,14,10,7,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.072782,none,888,7118,-4052,15,10,6,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.077822,none,884,7142,-4064,13,8,6,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.082845,none,898,7161,-4043,14,5,5,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.087867,none,846,7158,-4058,14,4,3,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.092874,none,857,7183,-4094,14,3,4,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.097890,none,840,7151,-4070,21,2,6,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.102918,none,843,7169,-4070,20,2,10,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.107937,none,836,7187,-4103,29,1,17,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.113033,none,832,7181,-4069,29,2,20,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.118061,none,831,7155,-4086,32,4,24,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.122986,none,835,7154,-4102,33,7,27,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.128038,none,818,7120,-4058,31,10,26,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.133055,none,867,7138,-4082,32,11,26,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.138078,none,878,7116,-4082,33,9,30,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.142298,none,879,7090,-4096,36,10,30,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.147322,none,885,7063,-4071,37,8,30,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.152354,none,943,7003,-4085,34,7,32,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.157383,none,943,7005,-4096,36,5,34,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.162410,none,946,7014,-4091,34,4,32,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.167436,none,959,6965,-4082,29,3,33,user1,user1_20250415_001404.wav
2025-04-15T00:14:04.172473,none,977,6963,-4064,21,1,27,user1,user1_20250415_001404.wav
