timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file,group_index
2025-03-27 15:27:00.290609,none,984,7747,2382,-4,-2,8,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.295479,none,977,7741,2384,-7,-1,2,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.299801,none,967,7755,2386,-7,-1,2,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.304829,none,959,7761,2364,-8,0,1,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.310053,none,953,7829,2382,-8,-1,0,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.315143,none,942,7784,2381,-10,-2,4,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.319656,none,950,7848,2379,-10,-1,1,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.324733,none,913,7827,2387,-5,-2,5,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.329755,none,891,7831,2389,2,-1,4,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.334786,none,937,7795,2378,3,0,9,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.339811,none,914,7831,2390,7,2,10,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.344834,none,918,7824,2370,8,0,16,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.349865,none,944,7812,2371,11,3,16,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.354789,none,952,7781,2393,13,3,16,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.359831,none,954,7746,2411,10,3,14,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.364861,none,938,7751,2377,7,3,14,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.370046,none,940,7726,2410,4,3,6,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.375071,none,905,7702,2409,1,4,4,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.380103,none,926,7693,2415,-5,5,0,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.385136,none,913,7672,2434,-4,3,0,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.390159,none,929,7684,2437,-11,8,0,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.395179,none,914,7728,2397,-9,5,1,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.400207,none,931,7800,2405,-11,7,2,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.404790,none,919,7790,2412,-11,6,3,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.410022,none,950,7828,2403,-11,7,3,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.414729,none,936,7814,2429,-5,6,5,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.419733,none,929,7837,2393,-3,7,3,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.423845,none,956,7868,2358,-2,6,5,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.428885,none,962,7849,2377,2,6,8,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.433905,none,968,7858,2349,8,7,7,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.438926,none,1013,7854,2341,11,6,5,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
2025-03-27 15:27:00.443953,none,998,7818,2342,8,3,1,user2_non-haptic,audio_user2_non-haptic_20250327_152659.wav,0
