timestamp,button_press,gyro_pitch,gyro_yaw,gyro_roll,acc_x,acc_y,acc_z,user_id,audio_file
2025-04-15T00:14:43.220476,none,1239,6915,-4365,25,-13,-30,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.232718,none,1208,6857,-4372,24,-19,-35,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.237269,none,1181,6878,-4343,21,-24,-34,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.242332,none,1149,6866,-4361,20,-26,-32,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.247371,none,1128,6907,-4353,19,-31,-26,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.252407,none,1111,6876,-4320,18,-31,-21,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.257426,none,1091,6891,-4336,14,-33,-15,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.262444,none,1064,6897,-4345,11,-28,-10,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.267452,none,1095,6903,-4365,2,-24,0,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.272462,none,1059,6927,-4396,0,-22,9,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.277469,none,1014,6925,-4447,-3,-18,17,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.282480,none,1026,6933,-4433,-8,-15,28,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.286772,none,995,6979,-4391,-17,0,46,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.291792,none,1008,7002,-4367,-19,3,51,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.296824,none,1037,6980,-4379,-20,11,60,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.301859,none,1068,6974,-4409,-21,18,65,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.306899,none,1195,7000,-4392,-25,21,66,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.311917,none,1270,7060,-4381,-27,22,63,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.316949,none,1303,7107,-4334,-29,20,55,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.321976,none,1326,7137,-4319,-26,20,48,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.327101,none,1380,7159,-4291,-19,17,25,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.332118,none,1418,7170,-4243,-15,15,15,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.337140,none,1430,7231,-4193,-12,14,6,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.342158,none,1438,7206,-4176,-8,11,0,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.346583,none,1437,7234,-4152,-2,8,-9,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.351598,none,1432,7227,-4048,6,2,-17,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.356615,none,1438,7219,-3996,12,-1,-22,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.361643,none,1476,7204,-3991,15,-5,-28,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.366672,none,1477,7202,-3956,25,-8,-34,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.371698,none,1485,7234,-3924,41,-11,-43,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.376726,none,1485,7229,-3914,51,-14,-53,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.381753,none,1512,7216,-3907,52,-17,-57,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.386073,none,1515,7216,-3966,56,-23,-64,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.391124,none,1485,7251,-3975,72,-34,-72,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.396143,none,1419,7258,-4001,80,-35,-73,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.401281,none,1377,7189,-4053,95,-39,-72,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.405545,none,1358,7199,-4029,103,-41,-67,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.410575,none,1384,7087,-4110,113,-43,-66,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.415603,none,1346,6982,-4198,128,-44,-53,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.420631,none,1327,6881,-4252,133,-43,-44,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.425763,none,1292,6806,-4288,134,-40,-34,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.430785,none,1307,6579,-4407,136,-40,-13,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.435802,none,1295,6502,-4435,129,-41,-1,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.440829,none,1290,6428,-4461,118,-41,7,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.445859,none,1271,6358,-4514,102,-42,18,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.450878,none,1262,6297,-4542,69,-42,22,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.455897,none,1262,6255,-4516,51,-41,21,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.460565,none,1273,6206,-4502,35,-41,21,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.465595,none,1283,6221,-4549,17,-39,14,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.470624,none,1278,6242,-4533,4,-34,5,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.475651,none,1248,6278,-4486,-14,-25,-22,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.480726,none,1226,6367,-4509,-18,-18,-40,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.485753,none,1236,6388,-4492,-24,-9,-57,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.490834,none,1255,6466,-4478,-33,3,-97,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.495857,none,1265,6547,-4423,-32,10,-119,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.500883,none,1253,6630,-4423,-32,17,-138,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.505911,none,1246,6647,-4395,-32,22,-154,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.510938,none,1240,6747,-4374,-24,32,-173,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.515037,none,1249,6749,-4365,-21,37,-180,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.519408,none,1277,6793,-4344,-22,39,-184,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.524578,none,1246,6804,-4341,-19,39,-182,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.529605,none,1241,6852,-4328,-18,42,-180,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.534625,none,1252,6893,-4324,-14,42,-177,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.539646,none,1259,6914,-4308,-12,37,-162,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.544671,none,1262,6915,-4343,-6,35,-155,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.549706,none,1270,6891,-4368,-5,32,-145,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.554338,none,1260,6864,-4391,-9,29,-139,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.559427,none,1240,6875,-4454,-18,20,-123,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.564504,none,1244,6908,-4417,-23,19,-120,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.569407,none,1235,6875,-4431,-29,19,-114,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.574439,none,1252,6917,-4418,-39,21,-108,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.579469,none,1209,7061,-4346,-47,25,-96,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.584521,none,1219,7054,-4311,-49,29,-97,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.589624,none,1230,7093,-4289,-45,32,-97,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.594714,none,1212,7093,-4271,-43,32,-97,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.599776,none,1162,7144,-4210,-32,33,-97,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.604884,none,1087,7201,-4212,-29,28,-99,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.609942,none,1097,7178,-4182,-22,26,-99,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.614291,none,1030,7215,-4195,-14,21,-102,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.619350,none,988,7205,-4245,5,4,-101,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.624621,none,932,7211,-4251,20,1,-100,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.629683,none,897,7175,-4276,31,-1,-99,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.634464,none,848,7145,-4269,45,-8,-98,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.639537,none,770,7081,-4270,65,-12,-93,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.643895,none,775,7076,-4311,71,-11,-94,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.648930,none,776,7057,-4289,81,-9,-97,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.654015,none,776,7070,-4290,91,-2,-98,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.659059,none,807,7115,-4347,114,10,-108,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.664100,none,810,7177,-4335,135,16,-118,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.669142,none,815,7108,-4372,149,24,-125,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.674197,none,839,7050,-4386,161,30,-134,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.678300,none,878,7035,-4397,161,34,-140,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.683340,none,884,7069,-4441,157,41,-148,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.688021,none,896,7100,-4472,160,40,-151,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.693077,none,876,7082,-4464,166,37,-151,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.698144,none,847,7088,-4487,164,33,-148,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.703317,none,825,7044,-4534,169,25,-139,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.708384,none,827,7009,-4524,168,20,-131,u1env3,u1env3_20250415_001443.wav
2025-04-15T00:14:43.713450,none,785,6994,-4545,167,15,-129,u1env3,u1env3_20250415_001443.wav
