Env,Method,FRR,EER,FAR,Accuracy,Model Type
Env1,RMS+Z-score,0.875,0.56640625,0.2578125,0.587890625,Autoencoder
Env1,2-Level Derivative,0.8515625,0.5299479166666666,0.20833333333333334,0.630859375,Autoencoder
Env2,RMS+Z-score,0.47619047619047616,0.38888888888888884,0.30158730158730157,0.6547619047619049,Autoencoder
Env2,2-Level Derivative,0.14285714285714285,0.20634920634920634,0.2698412698412698,0.7619047619047619,Autoencoder
Env3,RMS+Z-score,0.3412698412698413,0.3293650793650794,0.3174603174603175,0.6765873015873015,Autoencoder
Env3,2-Level Derivative,0.6349206349206349,0.32275132275132273,0.010582010582010581,0.8333333333333334,Autoencoder
Env1,RMS+Z-score,0.9609375,0.52734375,0.09375,0.689453125,Binary classifier
Env1,2-Level Derivative,1.0,0.5924479166666666,0.18489583333333334,0.611328125,Binary classifier
Env2,RMS+Z-score,0.8571428571428571,0.4841269841269841,0.1111111111111111,0.7023809523809523,Binary classifier
Env2,2-Level Derivative,0.9523809523809523,0.5317460317460317,0.1111111111111111,0.6785714285714286,Binary classifier
Env3,RMS+Z-score,0.6587301587301587,0.3439153439153439,0.0291005291005291,0.8134920634920635,Binary classifier
Env3,2-Level Derivative,0.14285714285714285,0.082010582010582,0.021164021164021163,0.9484126984126984,Binary classifier
